ParkID,ParkName,ResidentFee,NonResidentFee
park-1437,포항시우현화장장,50000,400000
park-1438,익산하늘공원정수원,60000,500000
park-1439,정선하늘터,50000,20000
park-1440,포항시립구룡포화장장,20000,160000
park-1441,인천가족공원 승화원,160000,600000
park-1442,광주영락공원,90000,900000
park-1443,사천시 누리원(화장시설),40000,150000
park-1444,영주시화장장,50000,150000
park-1445,상주시승천원,100000,350000
park-1446,서남권추모공원,70000,500000
park-1447,성남시장례문화사업소,50000,500000
park-1448,전주시승화원,140000,1000000
park-1449,대전시정수원,90000,570000
park-1450,울산하늘공원 승화원,28000,800000
park-1451,원주추모공원 화장장,100000,900000
park-1452,통영시추모공원,100000,800000
park-1453,대구명복공원,180000,1000000
park-1454,공주나래원,100000,30000
park-1455,함안하늘공원(화장시설),60000,350000
park-1456,은하수공원 해님의집(화장장),160000,1000000
park-1457,홍성추모공원,0,1000
park-1458,제천시영원한쉼터,50000,1000000
park-1459,수원시연화장 승화원,150000,500000
park-1460,경주하늘마루,0,50000
park-1461,속초시승화원,100000,350000
park-1462,의성군공설화장장,100000,600000
park-1463,청주시목련공원,100000,1000000
park-1464,동해삼척 공동화장장(승화원),100000,600000
park-1465,인제 하늘내린도리안,35000,700000
park-1466,태백시화장장,100000,700000
park-1468,남해추모누리 영화원,30000,500000
park-1470,목포추모공원,0,105000
park-1471,서울추모공원,50000,50000
park-1472,김해추모의공원,100000,500000
park-1473,밀양시공설화장시설,80000,520000
park-1474,천안추모공원,100000,1000000
park-1475,충주시시설관리공단,100000,500000
park-1476,솔향하늘길,75000,700000
park-1477,울릉하늘섬공원,130000,260000
park-1478,창원시립마산화장장,70000,500000
park-1479,서울시립승화원,50000,120000
park-1480,군산시승화원,60000,500000
park-1481,남원시승화원,60000,600000
park-1482,부산영락공원,0,1000
park-1483,고성군공설화장장,50000,400000
park-1484,순천시립추모공원,180000,600000
park-1485,춘천안식원,70000,700000
park-1486,안동장사문화공원,100000,600000
park-1487,승화원(화장장),60000,400000
park-1488,용인 평온의 숲(나래원),100000,900000
park-1489,울진군립추모원,600000,1600000
park-1490,문경예송원,50000,600000
park-1491,광양시화장장,100000,530000
park-1492,창원시립상복공원,40000,1000
park-1493,구미시추모공원,50000,600000
park-1494,양지공원,100000,200000
park-1495,진주시안락공원,70000,352000
park-1496,화성함백산추모공원(화장),1000000,0