ParkID,ParkName,JointMinPrice,IndividualMinPrice,CoupleMinPrice
park-1175,유토피아추모공원(자연장지),2000000,30000,7000000
park-1176,함안하늘공원(자연장지),,300000,
park-1177,은하수공원 자연장지,930000,260000,680000
park-1179,에버그린수목장,,1500000,10000000
park-1180,대한예수교장로회 효자수목원,1500000,50000,5000000
park-1182,에덴의정원 수목장,2000000,5000000,8000000
park-1183,대한불교조계종 용천사,,2000000,
park-1184,남해추모누리공원 자연장지,,15000,
park-1185,불광사 양지수목장,1500000,3000000,6000000
park-1187,신불산추모공원 수목장지,,2000000,2700000
park-1189,용인로뎀파크,,402000000,653300000
park-1191,우성공원묘원(자연장지),,300000,
park-1192,천봉사 자연장지,1001,2001,8001
park-1193,(재)용인추모원 자연장지,2000000,,4000000
park-1194,경각산 수목장,2500000,2000000,3500000
park-1195,용인평온의숲(예정원),900000,500000,700000
park-1196,백양사 수목장,1500000,1000000,4000000
park-1197,자연애숲(다니엘교회),1500000,3000000,3500000
park-1199,화성함백산추모공원(바람마루),,800000,
park-1200,별그리다(별의숲),690000,460000,7200000
park-1201,늘푸른수목장(청광사),,100000,
park-1202,일산공감수목장(봉화사),3000000,,
park-1203,목자은혜교회,2000000,150000,5000000
park-1204,인천가족공원 자연장지,,10000,
park-1205,하늘동산 자연장지,,150000,3000000
park-1206,의성군 천제공원(수목·잔디),1200000,300000,
park-1208,늘푸른수목장,,100000,
park-1209,신광사 수목장,,4000000,7000000
park-1210,서울신흥교회 하늘계단수목장,50000,100000,
park-1211,무량수목장,,2000000,
park-1212,옥마기도회,,20000,3000000
park-1213,함양하늘공원(자연장지),,2600000,
park-1215,서남권추모공원 자연장지,,250000,
park-1218,(재)여주세종추모공원 자연장,,4000000,
park-1221,영광군 공설추모공원 자연장지,,250000,550000
park-1223,제천시영원한쉼터 자연장지,,500000,1000000
park-1226,(재)용인공원(자연장),,5630000,
park-1227,경주하늘수목장림,,5000000,600000
park-1229,와동꽃빛공원 자연장지,,489000,987000
park-1230,울산하늘공원 자연장지,,300000,
park-1234,쌍계사,2000000,5000000,9000000
park-1235,분당추모공원휴(자연장),,516300,
park-1236,광양시립영세공원 자연장지,,200000,
park-1237,대전추모공원 자연장지,,650000,
park-1240,김포시추모공원(자연장지),,800000,1500000
park-1241,수원시연화장 자연장지,,300000,1200000
park-1242,공주나래원 자연장지,,600000,
park-1243,사천시 누리원(자연장지),,300000,600000
park-1244,태백공원묘원 자연장지,,500000,1004000
park-1245,전주효자자연장,,300000,600000
park-1246,안성제일교회 수목장,,,2000000
park-1247,기독교대한성결교회 안성교회 자연장지,,800000,
park-1248,안성시추모공원(자연장지),,500000,800000
park-1249,제주시어승생한울누리공원,,100000,
park-1250,청주시목련공원자연장,,390000,780000
park-1251,남한강공원묘원(자연장),,4000000,
park-1253,대한불교조계종 계승사 극락원,380000,885646,
park-1254,예래원(자연장지),,2100000,
park-1255,광릉 더 크레스트 자연장지,,300000,
park-1256,천주교태안교회 공원묘지,,1500000,
park-1257,양구봉안공원 자연장지,,174500,
park-1258,홍천군추모공원 자연장지,,250000,
park-1259,해인사 고불암수목장,,1000000,
park-1261,중대공원자연장지,,300000,
park-1262,길상사 수목장림,,2000000,6000000
park-1263,대원사추모공원 자연장지,,5000000,8000000
park-1264,자연으로추모정원,,1000000,
park-1266,순천시립자연장지,,400000,
park-1268,약천사,,,15000000
park-1269,은해사 자연장지,,5000000,
park-1270,월곳리 공설자연장지,,750000,
park-1271,서귀포추모공원 자연장지,,200000,
park-1273,이작리공설묘지 자연장지,,60000,
park-1274,선재리공설묘지 자연장지,,60000,
park-1275,장봉리공설묘지 자연장지,,60000,
park-1277,남원시추모공원(자연장지),,20000,
park-1280,무주추모의집(자연장),,450000,
park-1281,삼광사추모공원 자연장지,,4000000,
park-1283,이천시립 자연장지,,300000,
park-1284,여수시영락공원 자연장지(수목·잔디),,320000,
park-1286,서산시 희망공원(자연장지),,450000,600000
park-1287,(재)효원가족공원 자연장지,,2000000,
park-1289,연평리공설묘지 자연장지,,60000,
park-1290,영모묘원 자연장지,,301500000,
park-1291,화천공원묘원 자연장지,,85800,
park-1292,구례군 공설자연장지,,300000,
park-1293,익산하늘공원자연장지,,350000,
park-1295,웅양공설공원묘지,,300000,
park-1297,광주영락공원 청마루동산,,348000,
park-1301,대한불교조계종 남지장사,,3000000,
park-1353,재단법인 아너스홈,,2450000,